Price,District,City,Town,Type,EnergyCertificate,Floor,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,EnergyEfficiencyLevel,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,LotSize,NumberOfBathrooms
291000.0,6.0,4.0,53.0,0.0,2.0,0.0,1.0,1.0,1967.8,10560.0,67.0,11.0,2.0,1.0,2.0,1.0,2.0,0.0,50.0,2397.2,1.0
223000.0,6.0,222.0,1836.0,0.0,1.0,14.0,1.0,1.0,2004.4,81.0,141.6,11.0,2.0,1.0,2.0,2.0,3.2,0.4,81.0,901.2,2.0
228000.0,6.0,222.0,1836.0,0.0,1.0,14.0,1.0,1.0,1990.0,108.0,200.8,11.0,2.0,1.0,2.0,2.0,2.8,1.4,108.0,2745.4,2.0
250000.0,6.0,222.0,1836.0,0.0,1.0,0.0,1.0,1.0,1986.0,115.0,106.6,11.0,2.0,1.0,2.0,2.0,2.4,0.2,115.0,2531.0,2.0
165000.0,6.0,65.0,137.0,10.0,9.0,19.0,3.0,1.0,2023.0,960.0,372.4,11.0,2.0,0.0,2.0,2.0,3.8,0.0,70.0,3687.2,0.0
75000.0,6.0,157.0,1173.0,10.0,9.0,19.0,0.0,0.0,1976.4,760.0,470.8,11.0,2.0,0.0,2.0,0.6,1.2,0.0,760.0,8873.4,0.0
159900.0,6.0,185.0,1449.0,0.0,5.0,2.0,0.0,0.0,1987.0,55.0,55.0,11.0,2.0,1.0,2.0,1.0,0.6,0.2,50.0,3262.8,1.0
320000.0,6.0,4.0,53.0,17.0,4.0,19.0,0.0,0.0,1987.0,69.0,159.0,11.0,2.0,0.0,2.0,2.6,3.2,0.2,69.0,1738.4,0.0
340000.0,6.0,4.0,53.0,0.0,5.0,14.0,0.0,0.0,1975.0,91.0,234.6,11.0,2.0,0.0,2.0,3.0,2.8,0.6,85.0,2764.4,2.0
195000.0,6.0,261.0,2173.0,7.0,9.0,19.0,0.0,0.0,1937.0,137.0,110.0,11.0,2.0,0.0,2.0,0.0,1.8,0.4,110.0,461.2,0.0
